year_harvest,accession_name,plot_number,SHTWT,RTWT,HI,DM,YELLOWNESS
2019,IITA-TMS-IBA000070,106,60.90,126.70,0.68,36.10,20.10
2019,IITA-TMS-IBA000070,230,60.00,127.10,0.68,38.70,19.15
2019,IITA-TMS-IBA011231,108,82.50,44.00,0.35,36.70,29.58
2019,IITA-TMS-IBA011231,203,93.00,59.00,0.39,36.60,33.16
2019,IITA-TMS-IBA011368,134,111.50,59.50,0.35,27.70,37.96
2019,IITA-TMS-IBA011368,227,81.50,52.50,0.39,31.20,48.28
2019,IITA-TMS-IBA011412,131,103.50,90.50,0.47,27.20,38.88
2019,IITA-TMS-IBA011412,229,84.50,123.00,0.59,26.72,39.21
2019,IITA-TMS-IBA011663,129,51.50,7.00,0.12,NA,32.52
2019,IITA-TMS-IBA011663,232,50.50,9.50,0.16,22.00,NA
2019,IITA-TMS-IBA020510,142,78.50,42.00,0.35,36.40,31.07
2019,IITA-TMS-IBA020510,215,60.50,74.50,0.55,38.40,34.74
2019,IITA-TMS-IBA030006A,117,62.00,52.00,0.46,32.90,19.65
2019,IITA-TMS-IBA030006A,226,87.50,52.00,0.37,36.20,19.85
2019,IITA-TMS-IBA050128,125,65.60,57.50,0.47,34.90,34.41
2019,IITA-TMS-IBA050128,219,85.00,50.50,0.37,31.50,36.25
2019,IITA-TMS-IBA051599,102,81.50,98.00,0.55,26.90,35.59
2019,IITA-TMS-IBA051599,208,102.50,108.50,0.51,24.20,44.50
2019,IITA-TMS-IBA051601,103,68.00,25.00,0.27,26.60,33.58
2019,IITA-TMS-IBA051601,238,71.50,52.00,0.42,25.40,36.34
2019,IITA-TMS-IBA051632,104,78.00,45.00,0.37,35.50,34.46
2019,IITA-TMS-IBA051632,234,110.50,43.50,0.28,32.20,36.35
2019,IITA-TMS-IBA051652,122,88.40,64.00,0.42,25.60,33.84
2019,IITA-TMS-IBA051652,242,112.00,89.00,0.44,24.70,36.10
2019,IITA-TMS-IBA051814,140,58.50,35.50,0.38,27.80,24.33
2019,IITA-TMS-IBA051814,205,55.00,36.50,0.40,30.60,33.81
